,id,popularity,budget,revenue,profit,original_title,director,genres,production_companies,vote_count,vote_average,release_year,budget_adj,revenue_adj
0,135397,32.985763,150000000,1513528810,1254445953.243774,Jurassic World,Colin Trevorrow,Action|Adventure|Science Fiction|Thriller,Universal Studios|Amblin Entertainment|Legendary Pictures|Fuji Television Network|Dentsu,5562,6.5,2015,137999939.280026,1392445892.5238
1,76341,28.419936,150000000,378436354,210161353.20900503,Mad Max: Fury Road,George Miller,Action|Adventure|Science Fiction|Thriller,Village Roadshow Pictures|Kennedy Miller Productions,6185,7.1,2015,137999939.280026,348161292.489031
2,262500,13.112507,110000000,295238201,170419069.935609,Insurgent,Robert Schwentke,Adventure|Science Fiction|Thriller,Summit Entertainment|Mandeville Films|Red Wagon Entertainment|NeoReel,2480,6.3,2015,101199955.47201899,271619025.407628
3,140607,11.173103999999999,200000000,2068178225,1718723210.761785,Star Wars: The Force Awakens,J.J. Abrams,Action|Adventure|Science Fiction|Fantasy,Lucasfilm|Truenorth Productions|Bad Robot,5292,7.5,2015,183999919.040035,1902723129.80182
4,168259,9.335014,190000000,1506249360,1210948878.382487,Furious 7,James Wan,Action|Crime|Thriller,Universal Pictures|Original Film|Media Rights Capital|Dentsu|One Race Films,2947,7.3,2015,174799923.08803302,1385748801.47052
5,281957,9.1107,135000000,532950503,366114301.66970694,The Revenant,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,Western|Drama|Adventure|Thriller,Regency Enterprises|Appian Way|CatchPlay|Anonymous Content|New Regency Pictures,3929,7.2,2015,124199945.352024,490314247.02173096
6,87101,8.654359,155000000,440603537,262755138.427739,Terminator Genisys,Alan Taylor,Science Fiction|Action|Thriller|Adventure,Paramount Pictures|Skydance Productions,2598,5.8,2015,142599937.256027,405355075.683766
7,286217,7.6674,108000000,595380321,448389698.02853274,The Martian,Ridley Scott,Drama|Adventure|Science Fiction,Twentieth Century Fox Film Corporation|Scott Free Productions|Mid Atlantic Films|International Traders|TSG Entertainment,4572,7.6,2015,99359956.2816192,547749654.3101519
8,211672,7.40416499999999,74000000,1156730962,996112046.7506969,Minions,Kyle Balda|Pierre Coffin,Family|Animation|Adventure|Comedy,Universal Pictures|Illumination Entertainment,2893,6.5,2015,68079970.0448131,1064192016.7955099
9,150540,6.326804,175000000,853708609,624411645.538876,Inside Out,Pete Docter,Comedy|Animation|Family,Walt Disney Pictures|Pixar Animation Studios|Walt Disney Studios Motion Pictures,3935,8.0,2015,160999929.16003102,785411574.698907
10,206647,6.200282,245000000,880674609,584820382.9590319,Spectre,Sam Mendes,Action|Adventure|Crime,Columbia Pictures|Danjaq|B24,3254,6.2,2015,225399900.824043,810220283.783075
11,76757,6.189369,176000003,183987723,7348699.166572005,Jupiter Ascending,Lana Wachowski|Lilly Wachowski,Science Fiction|Fantasy|Action|Adventure,Village Roadshow Pictures|Dune Entertainment|Anarchos Productions|Warner Bros.,1937,5.2,2015,161919931.51523,169268630.681802
12,264660,6.118847,15000000,36869414,20119852.027265098,Ex Machina,Alex Garland,Drama|Science Fiction,DNA Films|Universal Pictures International (UPI)|Film4,2854,7.6,2015,13799993.9280026,33919845.9552677
13,257344,5.984995,88000000,243637091,143186060.71813244,Pixels,Chris Columbus,Action|Comedy|Science Fiction,Columbia Pictures|Happy Madison Productions,1575,5.8,2015,80959964.37761559,224146025.095748
14,99861,5.944927,280000000,1405035767,1035032450.2257209,Avengers: Age of Ultron,Joss Whedon,Action|Adventure|Science Fiction,Marvel Studios|Prime Focus|Revolution Sun Studios,4304,7.4,2015,257599886.656049,1292632336.88177
15,273248,5.8984,44000000,155760117,102819262.39952421,The Hateful Eight,Quentin Tarantino,Crime|Drama|Mystery|Western,Double Feature Films|The Weinstein Company|FilmColony,2389,7.4,2015,40479982.18880779,143299244.588332
16,260346,5.749758,48000000,325771424,255549597.6381765,Taken 3,Olivier Megaton,Crime|Action|Thriller,Twentieth Century Fox Film Corporation|M6 Films|Canal+|EuropaCorp|CinÃ©+,1578,6.1,2015,44159980.5696085,299709578.207785
17,102899,5.5731839999999995,130000000,518602163,357513832.653913,Ant-Man,Peyton Reed,Science Fiction|Action|Adventure,Marvel Studios,3779,7.0,2015,119599947.376023,477113780.029936
18,150689,5.556818,95000000,542351353,411563063.67225105,Cinderella,Kenneth Branagh,Romance|Fantasy|Family|Drama,Walt Disney Pictures|Genre Films|Beagle Pug Films|Allison Shearmur Productions,1495,6.8,2015,87399961.54401691,498963025.21626794
19,131634,5.476958,160000000,650523427,451281354.276204,The Hunger Games: Mockingjay - Part 2,Francis Lawrence,War|Adventure|Science Fiction,Studio Babelsberg|StudioCanal|Lionsgate|Walt Disney Studios Motion Pictures|Color Force,2380,6.5,2015,147199935.232028,598481289.508232
20,158852,5.4621379999999995,190000000,209035668,17512806.85436499,Tomorrowland,Brad Bird,Action|Family|Science Fiction|Adventure|Mystery,Walt Disney Pictures|Babieka|A113,1899,6.2,2015,174799923.08803302,192312729.942398
21,307081,5.337064,30000000,91709827,56773015.859873,Southpaw,Antoine Fuqua,Action|Drama,Escape Artists|Riche-Ludwig Productions,1386,7.3,2015,27599987.856005296,84373003.7158783
22,254128,4.907832,110000000,470490832,331651419.513376,San Andreas,Brad Peyton,Action|Drama|Thriller,New Line Cinema|Village Roadshow Pictures|Warner Bros.|Flynn Picture Company,2060,6.1,2015,101199955.47201899,432851374.985395
23,216015,4.71040199999999,40000000,569651467,487279135.2371799,Fifty Shades of Grey,Sam Taylor-Johnson,Drama|Romance,Focus Features|Trigger Street Productions|Michael De Luca Productions,1865,5.3,2015,36799983.808007106,524079119.045187
24,318846,4.648046,28000000,133346506,96918742.8757531,The Big Short,Adam McKay,Comedy|Drama,Paramount Pictures|Plan B Entertainment|Regency Enterprises,1545,7.3,2015,25759988.665604897,122678731.54135801
25,177677,4.566713,150000000,682330139,489743512.39285505,Mission: Impossible - Rogue Nation,Christopher McQuarrie,Action,Paramount Pictures|Skydance Productions|China Movie Channel|Bad Robot|TC Productions,2349,7.1,2015,137999939.280026,627743451.672881
26,214756,4.5645489999999995,68000000,215863606,136034457.6648379,Ted 2,Seth MacFarlane,Comedy,Universal Pictures|Media Rights Capital|Fuzzy Door Productions,1666,6.3,2015,62559972.4736121,198594430.13845
27,207703,4.503789,81000000,403802136,296977834.44975257,Kingsman: The Secret Service,Matthew Vaughn,Crime|Comedy|Action|Adventure,Twentieth Century Fox Film Corporation|Marv Films|TSG Entertainment|Cloudy Productions,3833,7.6,2015,74519967.21121441,371497801.660967
28,314365,4.062293,20000000,88346473,62878727.49335991,Spotlight,Tom McCarthy,Drama|Thriller|History,Participant Media|Open Road Films|Anonymous Content|Rocklin / Faust|Entertainment One Features,1559,7.8,2015,18399991.9040035,81278719.39736341
29,294254,3.968891,61000000,311256926,230236270.61604017,Maze Runner: The Scorch Trials,Wes Ball,Action|Science Fiction|Thriller,Gotham Group|Temple Hill Entertainment|TSG Entertainment,1849,6.4,2015,56119975.30721079,286356245.923251
31,198184,3.899557,49000000,102069268,48823705.0775698,Chappie,Neill Blomkamp,Crime|Action|Science Fiction,Columbia Pictures|Media Rights Capital|Sony Pictures Entertainment (SPE)|Alpha Core|Genre Films,1990,6.6,2015,45079980.164808705,93903685.2423785
32,254470,3.877764,29000000,287506194,237825593.83673793,Pitch Perfect 2,Elizabeth Banks,Comedy|Music,Universal Pictures|Gold Circle Films|Brownstone Productions,1264,6.8,2015,26679988.260805104,264505582.09754303
33,296098,3.6482099999999997,40000000,162610473,112801585.5273019,Bridge of Spies,Steven Spielberg,Thriller|Drama,DreamWorks SKG|Amblin Entertainment|Studio Babelsberg|Fox 2000 Pictures|Marc Platt Productions,1638,7.1,2015,36799983.808007106,149601569.335309
34,257445,3.6445410000000003,58000000,150170815,84797112.4892697,Goosebumps,Rob Letterman,Adventure|Horror|Comedy,Columbia Pictures|Original Film|Scholastic Entertainment,600,6.2,2015,53359976.5216103,138157089.01088
35,264644,3.557846,6000000,35401758,27049605.458173543,Room,Lenny Abrahamson,Drama|Thriller,Element Pictures|No Trace Camping|A24|Duperele Films,1520,8.0,2015,5519997.57120106,32569603.029374603
37,105864,3.3391349999999997,175000000,331926147,144371991.71632296,The Good Dinosaur,Peter Sohn,Adventure|Animation|Comedy|Family|Fantasy,Walt Disney Pictures|Pixar Animation Studios|Buena Vista,1087,6.6,2015,160999929.16003102,305371920.876354
38,241554,3.23737,50000000,71561644,19836703.7518503,Run All Night,Jaume Collet-Serra,Action|Crime|Drama|Mystery|Thriller,Vertigo Entertainment|Energy Entertainment|RatPac-Dune Entertainment,814,6.3,2015,45999979.7600089,65836683.5118592
39,167073,3.227329,11000000,62076141,46990029.0443872,Brooklyn,John Crowley,Drama|Romance,Wildgaze Films|Irish Film Board|Item 7|Parallel Film Productions,754,7.3,2015,10119995.5472019,57110024.5915891
40,277216,3.2027189999999996,28000000,201634991,159744121.4325861,Straight Outta Compton,F. Gary Gray,Drama|Music,New Line Cinema|Universal Pictures|Legendary Pictures|Cube Vision|Broken Chair Flickz,918,7.7,2015,25759988.665604897,185504110.098191
41,274854,3.080505,90000000,140396650,46364897.599445,The Last Witch Hunter,Breck Eisner,Fantasy|Action|Adventure,Summit Entertainment|Atmosphere Entertainment MM|One Race Films|Goldmann Pictures|NeoReel,879,5.6,2015,82799963.56801601,129164861.16746101
42,321697,3.0795220000000003,30000000,34441873,4086521.361930605,Steve Jobs,Danny Boyle,History|Drama,Universal Pictures|Scott Rudin Productions|Legendary Pictures|The Mark Gordon Company|Management 360,1035,6.9,2015,27599987.856005296,31686509.2179359
43,203801,3.0534209999999997,75000000,108145109,30493486.86286579,The Man from U.N.C.L.E.,Guy Ritchie,Comedy|Action|Adventure,Davis Entertainment|Warner Bros.|Wigram Productions|RatPac-Dune Entertainment,1548,7.0,2015,68999969.64001329,99493456.50287908
44,293863,3.025852,25000000,42629776,16219386.783469804,The Age of Adaline,Lee Toland Krieger,Fantasy|Drama|Romance,Lakeshore Entertainment|Sidney Kimmel Entertainment|Sierra/Affinity,1221,7.3,2015,22999989.8800044,39219376.6634742
45,325348,3.023253,10000000,14333790,3987085.0456825197,Hardcore Henry,Ilya Naishuller,Action|Adventure|Science Fiction,Bazelevs Production|Versus Pictures,396,5.9,2015,9199995.95200178,13187080.9976843
46,228161,2.976436,135000000,368871007,215161231.769058,Home,Tim Johnson,Fantasy|Comedy|Animation|Science Fiction|Family,Twentieth Century Fox Film Corporation|DreamWorks Animation,1060,6.9,2015,124199945.352024,339361177.121082
47,286565,2.968254,12000000,85512300,67631286.24223411,Paper Towns,Jake Schreier,Drama|Mystery|Romance,Fox 2000 Pictures,1252,6.2,2015,11039995.1424021,78671281.38463621
49,254320,2.8851259999999996,4000000,9064511,4659348.06988685,The Lobster,Yorgos Lanthimos,Thriller|Comedy|Drama|Romance|Science Fiction,Haut et Court|Eurimages|Lemming Film|Element Pictures|Nederlands Fonds voor de Film,638,6.6,2015,3679998.38080071,8339346.45068756
50,258480,2.883233,11800000,40272135,26194352.6744848,Carol,Todd Haynes,Romance|Drama,Killer Films|Film4|Number 9 Films,562,7.1,2015,10855995.2233621,37050347.8978469
51,257211,2.8148020000000002,35000000,194564672,146799433.6482488,The Intern,Nancy Meyers,Comedy,Waverly Films|Warner Bros.,1255,7.1,2015,32199985.8320062,178999419.480255
52,253412,2.7980169999999998,55000000,203427584,136553317.1965402,Everest,Baltasar KormÃ¡kur,Adventure|Drama,Universal Pictures|Working Title Films|Walden Media|Cross Creek Pictures|Free State Pictures,1172,6.7,2015,50599977.7360098,187153294.93255
53,274479,2.793297,60000000,101134059,37843317.628940314,Joy,David O. Russell,Comedy|Drama,Fox 2000 Pictures|Davis Entertainment|Annapurna Pictures|TSG Entertainment,1001,6.4,2015,55199975.71201059,93043293.3409509
54,257088,2.6144990000000004,105000000,133718711,26421202.494670287,Point Break,Ericson Core,Action|Crime|Thriller,Studio Babelsberg|Alcon Entertainment|DMG Entertainment|Ehman Productions,505,5.5,2015,96599957.49601871,123021159.990689
55,295964,2.584264,20000000,36606743,15278196.837593399,Burnt,John Wells,Drama,Double Feature Films|PeaPie Films|3 Arts Entertainment,631,6.3,2015,18399991.9040035,33678188.7415969
56,238615,2.578919,26000000,30523226,4161366.088998895,Self/less,Tarsem Singh,Science Fiction|Mystery|Thriller,Endgame Entertainment|Ram Bergman Productions,719,6.2,2015,23919989.475204602,28081355.564203497
57,210860,2.575711,60000000,30418560,-27214912.82543829,Mortdecai,David Koepp,Comedy|Adventure,Lionsgate|Mad Chance|OddLot Entertainment|Huayi Brothers Media,696,5.3,2015,55199975.71201059,27985062.8865723
58,306819,2.557859,15000000,64191523,45256181.2472803,The Danish Girl,Tom Hooper,Drama,Pretty Pictures|Working Title Films|ArtÃ©mis Productions|Le Tax Shelter du Gouvernement FÃ©dÃ©ral de Belgique|Taxshelter. be,867,7.3,2015,13799993.9280026,59056175.175282896
59,201088,2.5507470000000003,70000000,17752940,-48067274.0503994,Blackhat,Michael Mann,Mystery|Crime|Action|Thriller|Drama,Universal Pictures|Forward Pass|Legendary Pictures,584,5.0,2015,64399971.6640124,16332697.613613
